title,author,description,url,image
Dive Into Python 3,Mark Pilgrim,"Convention dictates that I should bore you with the fundamental building blocks of programming, so we can slowly work up to building something useful. Let’s skip all that. Here is a complete, working Python program. It probably makes absolutely no sense to you. Don’t worry about that, because you’re going to dissect it line by line. But read through it first and see what, if anything, you can make of it.",http://getpython3.com/diveintopython3/,diveintopython.jpg,
How to Think Like a Computer Scientist,Brad Miller and David Ranum,"The goal of this book is to teach you to think like a computer scientist. This way of thinking combines some of the best features of mathematics, engineering, and natural science. Like mathematicians, computer scientists use formal languages to denote ideas (specifically computations). Like engineers, they design things, assembling components into systems and evaluating tradeoffs among alternatives. Like scientists, they observe the behavior of complex systems, form hypotheses, and test predictions.",http://interactivepython.org/courselib/static/thinkcspy/index.html,
Tiny Python 3.6 Notebook,Matt Harrison,"Warning, this is not an introduction to Python. Rather it is a notebook containing curated examples for Python 3 as well as the new features found in Python 3.6. It is designed to accompany technical corporate training offered by the author or aid those who want a quick refresher to the Python syntax.",https://github.com/mattharrison/Tiny-Python-3.6-Notebook,tinypy36.png,
Introduction to Programming with Python,OpenTechSchool,"Ok, so python is this thing called a programming language. It takes text that you’ve written (usually referred to as code), turns it into instructions for your computer, and runs those instructions. We’ll be learning how to write code to do cool and useful stuff. No longer will you be bound to use others’ programs to do things with your computer - you can make your own! Practically, Python is just another program on your computer. The first thing to learn is how to use and interact with it. There are in fact many ways to do this; the first one to learn is to interact with python’s interpreter, using your operating system’s (OS) console.",http://opentechschool.github.io/python-beginners/en/,
Learn Pandas,Hernan Rojas,"The pandas library is used for all the data analysis excluding a small piece of the data presentation section. The matplotlib library will only be needed for the data presentation section. Importing the libraries is the first step we will take in the lesson.",https://bitbucket.org/hrojas/learn-pandas,
Learning JavaScript Design Patterns,Addy Osmani,"Design patterns are reusable solutions to commonly occurring problems in software design. They are both exciting and a fascinating topic to explore in any programming language.",https://addyosmani.com/resources/essentialjsdesignpatterns/book/,learning-javascript-design-patterns.jpg,
